,trial,uuid,label,ratio,gender
0,0,64b35f5b-1bfe-438f-a9b4-79e1c41f6850,0.5,2.0,f
1,1,64b35f5b-1bfe-438f-a9b4-79e1c41f6850,0.5,1.5,f
2,2,64b35f5b-1bfe-438f-a9b4-79e1c41f6850,0.0,1.5,f
3,3,64b35f5b-1bfe-438f-a9b4-79e1c41f6850,0.0,2.0,f
4,4,64b35f5b-1bfe-438f-a9b4-79e1c41f6850,0.0,2.0,f
5,5,64b35f5b-1bfe-438f-a9b4-79e1c41f6850,0.0,1.5,f
6,6,64b35f5b-1bfe-438f-a9b4-79e1c41f6850,0.5,1.25,f
7,7,64b35f5b-1bfe-438f-a9b4-79e1c41f6850,0.0,2.0,f
8,8,64b35f5b-1bfe-438f-a9b4-79e1c41f6850,0.0,1.5,f
9,9,64b35f5b-1bfe-438f-a9b4-79e1c41f6850,0.0,2.0,f
10,10,64b35f5b-1bfe-438f-a9b4-79e1c41f6850,0.0,1.25,f
11,11,64b35f5b-1bfe-438f-a9b4-79e1c41f6850,0.0,1.5,f
12,12,64b35f5b-1bfe-438f-a9b4-79e1c41f6850,0.0,1.25,f
13,13,64b35f5b-1bfe-438f-a9b4-79e1c41f6850,0.0,1.166666667,f
14,14,64b35f5b-1bfe-438f-a9b4-79e1c41f6850,0.0,1.25,f
15,15,64b35f5b-1bfe-438f-a9b4-79e1c41f6850,0.0,1.142857143,f
16,16,64b35f5b-1bfe-438f-a9b4-79e1c41f6850,1.0,1.166666667,f
17,17,64b35f5b-1bfe-438f-a9b4-79e1c41f6850,0.0,1.142857143,f
18,18,64b35f5b-1bfe-438f-a9b4-79e1c41f6850,1.0,1.25,f
19,19,64b35f5b-1bfe-438f-a9b4-79e1c41f6850,1.0,1.166666667,f
20,20,64b35f5b-1bfe-438f-a9b4-79e1c41f6850,0.0,1.142857143,f
21,21,64b35f5b-1bfe-438f-a9b4-79e1c41f6850,0.0,1.142857143,f
22,22,64b35f5b-1bfe-438f-a9b4-79e1c41f6850,0.0,1.111111111,f
23,23,64b35f5b-1bfe-438f-a9b4-79e1c41f6850,0.0,1.166666667,f
24,24,64b35f5b-1bfe-438f-a9b4-79e1c41f6850,0.5,1.111111111,f
25,25,64b35f5b-1bfe-438f-a9b4-79e1c41f6850,0.5,1.111111111,f
26,26,64b35f5b-1bfe-438f-a9b4-79e1c41f6850,0.0,1.166666667,f
